type,time
qs5,0.005217790603637695
merge1,0.005486011505126953
partition_sort,0.003336191177368164
qs1,0.0041713714599609375
qs2,0.00535273551940918
qs3,0.005380868911743164
qs4,0.005551815032958984
qs5,0.005080461502075195
merge1,0.00541377067565918
partition_sort,0.0031440258026123047
qs1,0.003871917724609375
qs2,0.005042552947998047
qs3,0.0051729679107666016
qs4,0.005527973175048828
qs5,0.0049495697021484375
merge1,0.005597829818725586
partition_sort,0.003328084945678711
qs1,0.004009723663330078
qs2,0.0051915645599365234
qs3,0.00527501106262207
qs4,0.005046844482421875
qs5,0.005132913589477539
merge1,0.005333662033081055
partition_sort,0.003214120864868164
qs1,0.003926753997802734
qs2,0.00534367561340332
qs3,0.005341529846191406
qs4,0.005476236343383789
qs5,0.005187034606933594
merge1,0.005555152893066406
partition_sort,0.003293752670288086
qs1,0.0041811466217041016
qs2,0.005401611328125
qs3,0.005444765090942383
qs4,0.005463361740112305
qs5,0.0051920413970947266
merge1,0.0055217742919921875
partition_sort,0.003302335739135742
qs1,0.004151582717895508
qs2,0.0054852962493896484
qs3,0.005327701568603516
qs4,0.005100250244140625
qs5,0.005089282989501953
merge1,0.005545616149902344
partition_sort,0.0032782554626464844
qs1,0.004132986068725586
qs2,0.005375385284423828
qs3,0.0054585933685302734
qs4,0.0055027008056640625
qs5,0.005106210708618164
merge1,0.00554203987121582
partition_sort,0.0033190250396728516
qs1,0.004051685333251953
qs2,0.005326032638549805
qs3,0.005342960357666016
qs4,0.0051593780517578125
qs5,0.005126953125
merge1,0.005456447601318359
partition_sort,0.0032227039337158203
qs1,0.00401759147644043
qs2,0.005059719085693359
qs3,0.005120277404785156
qs4,0.005471706390380859
qs5,0.0050334930419921875
merge1,0.005334615707397461
partition_sort,0.0031838417053222656
qs1,0.004012346267700195
qs2,0.005244255065917969
qs3,0.005271434783935547
qs4,0.005176544189453125
qs5,0.005437135696411133
